GC OrgID,Organization Legal Name English,Organization Legal Name French,FAA/LGFP,Legal title,Appellation legale,Applied title,Titre d'usage,Abbreviation,Abreviation,Footnote,Note de bas de page,preferred_name,nom_préféré
2289,Royal Canadian Mounted Police External Review Committee,Comité externe d'examen de la Gendarmerie royale du Canada,I.1,Royal Canadian Mounted Police External Review Committee,Comité externe d'examen de la Gendarmerie royale du Canada,RCMP External Review Committee,Comité externe d'examen de la GRC,ERC,CEE,,,RCMP External Review Committee,Comité externe d'examen de la GRC
2290,Civilian Review and Complaints Commission for the Royal Canadian Mounted Police,Commission civile d'examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada,I.1,Civilian Review and Complaints Commission for the Royal Canadian Mounted Police,Commission civile d'examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada,Civilian Review and Complaints Commission for the RCMP,Commission civile d'examen et de traitement des plaintes relatives à la GRC,CRCC,CCETP,,,Civilian Review and Complaints Commission for the RCMP,Commission civile d'examen et de traitement des plaintes relatives à la GRC
2291,National Security and Intelligence Review Agency Secretariat,Secrétariat de l'Office de surveillance des activités en matière de sécurité nationale et de renseignement,I.1,National Security and Intelligence Review Agency Secretariat,Secrétariat de l'Office de surveillance des activités en matière de sécurité nationale et de renseignement,,,,,,,National Security and Intelligence Review Agency Secretariat,Secrétariat de l'Office de surveillance des activités en matière de sécurité nationale et de renseignement
2292,Shared Services Canada,Services partagés Canada,I.1,Shared Services Canada,Services partagés Canada,Shared Services Canada,Services partagés Canada,SSC,SPC,,,Shared Services Canada,Services partagés Canada
2293,Statistics Canada,Statistique Canada,I.1,Statistics Canada,Statistique Canada,Statistics Canada,Statistique Canada,StatCan,StatCan,,,Statistics Canada,Statistique Canada
2294,Veterans Review and Appeal Board,Tribunal des anciens combattants (révision et appel),I.1,Veterans Review and Appeal Board,Tribunal des anciens combattants (révision et appel),,,VRAB,TACRA,,,Veterans Review and Appeal Board,Tribunal des anciens combattants (révision et appel)
2295,Secretariat of the National Security and Intelligence Committee of Parliamentarians,Secrétariat du Comité des parlementaires sur la sécurité nationale et le renseignement,I.1,Secretariat of the National Security and Intelligence Committee of Parliamentarians,Secrétariat du Comité des parlementaires sur la sécurité nationale et le renseignement,Secretariat of the National Security and Intelligence Committee of Parliamentarians,Secrétariat du Comité des parlementaires sur la sécurité nationale et le renseignement,SNSICP,SCPSNR,,,Secretariat of the National Security and Intelligence Committee of Parliamentarians,Secrétariat du Comité des parlementaires sur la sécurité nationale et le renseignement
2296,Leaders' Debates Commission,Commission des débats des chefs,I.1,Leaders' Debates Commission,Commission des débats des chefs,,,,,,,Leaders' Debates Commission,Commission des débats des chefs
2297,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs,I.1,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs,ATSSC,SCDATA,,,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2298,Pacific Economic Development Agency of Canada,Agence de développement économique du Pacifique Canada,I.1,Pacific Economic Development Agency of Canada,Agence de développement économique du Pacifique Canada,Pacific Economic Development Canada,Développement économique Canada pour le Pacifique,PacifiCan,PacifiCan,,,Pacific Economic Development Canada,Développement économique Canada pour le Pacifique
