gc_orgID,rg,harmonized_name,nom_harmonisé,Abbreviation,Abreviation,infobaseID,website,site_web,open_gov_ouvert,ati,pop,phoenix
2303,122,Canada Revenue Agency,Agence du revenu du Canada,CRA,ARC,46,www.canada.ca/en/revenue-agency.html,www.canada.ca/fr/agence-revenu.html,cra-arc,Canada Revenue Agency,NAR,NAR00
2304,52,Canada School of Public Service,École de la fonction publique du Canada,CSPS,EFPC,47,www.csps-efpc.gc.ca,www.csps-efpc.gc.ca,csps-efpc,Canada School of Public Service,CES,CES00
2305,100,Canadian Centre for Occupational Health and Safety,Centre canadien d'hygiène et de sécurité au travail,CCOHS,CCHST,55,www.ccohs.ca,www.cchst.ca,ccohs-cchst,Canadian Centre for Occupational Health and Safety,OCC,OCC00
2306,136,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments,CFIA,ACIA,65,www.inspection.gc.ca,www.inspection.gc.ca,cfia-acia,Canadian Food Inspection Agency,ICA,ICA00
2307,61,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada,CIHR,IRSC,74,www.cihr-irsc.gc.ca,www.irsc-cihr.gc.ca,cihr-irsc,Canadian Institutes of Health Research,CRI,CRI00
2308,47,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire,CNSC,CCSN,87,https://www.cnsc-ccsn.gc.ca/eng/,https://www.cnsc-ccsn.gc.ca/fra/,cnsc-ccsn,Canadian Nuclear Safety Commission,CSN,CSN00
2309,101,Transportation Safety Board of Canada,Bureau de la sécurité des transports du Canada,TSB,BST,98,www.tsb-bst.gc.ca,www.bst-tsb.gc.ca,tsb-bst,Transportation Safety Board of Canada,TSB,TSB00
2310,131,Law Commission of Canada,Commission du droit du Canada,,,198,,,org231,Not Found,CLD,CLD00
2311,102,The National Battlefields Commission,Commission des champs de bataille nationaux,NBC,CCBN,218,www.ccbn-nbc.gc.ca,www.ccbn-nbc.gc.ca,nbc-ccbn,The National Battlefields Commission,NBC,NBC00
2312,195,Canada Energy Regulator,Régie de l'énergie du Canada,CER,REC,221,https://www.cer-rec.gc.ca/index-eng.html,https://www.cer-rec.gc.ca/index-fra.html,cer-rec,National Energy Board,ERG,ENR00
2313,35,National Research Council Canada,Conseil national de recherches Canada,NRC,CNRC,228,https://nrc.canada.ca/en,https://nrc.canada.ca/fr,nrc-cnrc,National Research Council of Canada,NRC,NRC00
2314,27,Natural Sciences and Engineering Research Council of Canada,Conseil de recherches en sciences naturelles et en génie du Canada,NSERC,CRSNG,230,www.nserc-crsng.gc.ca,www.nserc-crsng.gc.ca,nserc-crsng,Natural Sciences and Engineering Research Council of Canada,NSE,NSE00
2315,124,Parks Canada,Parcs Canada,PC,PC,263,www.pc.gc.ca,www.pc.gc.ca,pc,Parks Canada Agency,CAP,CAP00
2316,63,Social Sciences and Humanities Research Council of Canada,Conseil de recherches en sciences humaines du Canada,SSHRC,CRSH,306,www.sshrc-crsh.gc.ca,www.sshrc-crsh.gc.ca,sshrc-crsh,Social Sciences and Humanities Research Council,SSH,SSH00
2317,180,Invest in Canada Hub,Investir au Canada,,,347,,,iic-iac,Invest in Canada,ICH,
2318,171,Polar Knowledge Canada,Savoir polaire Canada,POLAR,POLAIRE,552,www.canada.ca/en/polar-knowledge.html,www.canada.ca/fr/savoir-polaire.html,polar-polaire,Polar Knowledge Canada,CHR,CHR00
2319,199,Accessibility Standards Canada,Normes d'accessibilité Canada,ASC,NAC,558,https://accessible.canada.ca/,https://accessibilite.canada.ca/,casdo-ocena,Canadian Accessibility Standards Development Organization,CAQ,CAQ00
2396,16,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes,,,93,www.crtc.gc.ca,www.crtc.gc.ca,crtc,Canadian Radio-television and Telecommunications Commission,RTC,RTC00
3399,,African Development Bank,Banque africaine de développement,,,7,www.afdb.org,www.afdb.org,,Not Found,,
3400,,Asian Development Bank,Banque asiatique de développement,,,8,www.adb.org,www.adb.org,,Not Found,,
3401,,Caribbean Development Bank,Banque de développement des Caraïbes,,,103,www.caribank.org,www.caribank.org,,Not Found,,
3402,,European Bank for Reconstruction and Development,Banque européenne pour la reconstruction et le développement,,,145,www.ebrd.com,www.ebrd.com,,Not Found,,
3403,,Inter-American Development Bank,Banque interaméricaine de développement,,,181,www.iadb.org,www.iadb.org,,Not Found,,
3404,,International Bank for Reconstruction and Development,Banque internationale pour la reconstruction et le développement,,,183,www.worldbank.org,www.banquemondiale.org,,Not Found,,
3405,,International Development Association,Association internationale de développement,,,185,www.worldbank.org,www.banquemondiale.org,,Not Found,,
3406,,International Finance Corporation,Société financière internationale,,,187,www.ifc.org,www.ifc.org,,Not Found,,
3407,24,International Joint Commission (Canadian Section),Commission mixte internationale (section canadienne),,,189,www.ijc.org,www.ijc.org,,Not Found,IJC,
3408,,International Lake Memphremagog Levels Board,Commission internationale du lac Memphrémagog,,,190,,,,Not Found,,
3409,,International Lake of the Woods Control Board,Conseil international de contrôle du lac des Bois,,,191,www.lwcb.ca,www.lwcb.ca,,Not Found,,
3410,,International Monetary Fund,Fonds monétaire international,,,192,www.imf.org,www.imf.org,,Not Found,,
3411,,Multilateral Investment Guarantee Agency,Agence multilatérale de garantie des investissements,,,213,www.miga.org,www.miga.org,,Not Found,,
